,Year,Team,GM
0,2021,ARI,Mike Hazen
1,2020,ARI,Mike Hazen
2,2019,ARI,Mike Hazen
3,2018,ARI,Mike Hazen
4,2017,ARI,Mike Hazen
5,2016,ARI,Dave Stewart
6,2015,ARI,Dave Stewart
7,2014,ARI,Dave Stewart
8,2014,ARI,Kevin Towers
9,2013,ARI,Kevin Towers
10,2012,ARI,Kevin Towers
11,2011,ARI,Kevin Towers
12,2010,ARI,Josh Byrnes
13,2009,ARI,Josh Byrnes
14,2008,ARI,Josh Byrnes
15,2007,ARI,Josh Byrnes
16,2006,ARI,Josh Byrnes
17,2005,ARI,Joe Garagiola
18,2004,ARI,Joe Garagiola
19,2003,ARI,Joe Garagiola
20,2002,ARI,Joe Garagiola
21,2001,ARI,Joe Garagiola
22,2000,ARI,Joe Garagiola
23,1999,ARI,Joe Garagiola
24,1998,ARI,Joe Garagiola
25,2021,ATL,Alex Anthopoulos
26,2020,ATL,Alex Anthopoulos
27,2019,ATL,Alex Anthopoulos
28,2018,ATL,Alex Anthopoulos
29,2017,ATL,John Coppolella
30,2016,ATL,John Coppolella
31,2015,ATL,John Hart
32,2014,ATL,Frank Wren
33,2014,ATL,John Hart
34,2013,ATL,Frank Wren
35,2012,ATL,Frank Wren
36,2011,ATL,Frank Wren
37,2010,ATL,Frank Wren
38,2009,ATL,Frank Wren
39,2008,ATL,Frank Wren
40,2007,ATL,John Schuerholz
41,2006,ATL,John Schuerholz
42,2005,ATL,John Schuerholz
43,2004,ATL,John Schuerholz
44,2003,ATL,John Schuerholz
45,2002,ATL,John Schuerholz
46,2001,ATL,John Schuerholz
47,2000,ATL,John Schuerholz
48,1999,ATL,John Schuerholz
49,1998,ATL,John Schuerholz
50,1997,ATL,John Schuerholz
51,1996,ATL,John Schuerholz
52,1995,ATL,John Schuerholz
53,1994,ATL,John Schuerholz
54,1993,ATL,John Schuerholz
55,1992,ATL,John Schuerholz
56,1991,ATL,John Schuerholz
57,1990,ATL,Bobby Cox
58,1989,ATL,Bobby Cox
59,1988,ATL,Bobby Cox
60,1987,ATL,Bobby Cox
61,1986,ATL,Bobby Cox
62,1985,ATL,John Mullen
63,1984,ATL,John Mullen
64,1983,ATL,John Mullen
65,1982,ATL,John Mullen
66,1981,ATL,John Mullen
67,1980,ATL,John Mullen
68,1979,ATL,Bill Lucas
69,1978,ATL,Bill Lucas
70,1977,ATL,Bill Lucas
71,1976,ATL,Eddie Robinson
72,1975,ATL,Eddie Robinson
73,1974,ATL,Eddie Robinson
74,1973,ATL,Eddie Robinson
75,1972,ATL,Paul Richards
76,1971,ATL,Paul Richards
77,1970,ATL,Paul Richards
78,1969,ATL,Paul Richards
79,1968,ATL,Paul Richards
80,1967,ATL,Paul Richards
81,1966,ATL,John McHale
82,1965,MIL,John McHale
83,1964,MIL,John McHale
84,1963,MIL,John McHale
85,1962,MIL,John McHale
86,1961,MIL,John McHale
87,1960,MIL,John McHale
88,1959,MIL,John McHale
89,1958,MIL,John Quinn
90,1957,MIL,John Quinn
91,1956,MIL,John Quinn
92,1955,MIL,John Quinn
93,1954,MIL,John Quinn
94,1953,MIL,John Quinn
95,1952,BSN,John Quinn
96,1951,BSN,John Quinn
97,1950,BSN,John Quinn
98,2021,BAL,Mike Elias
99,2020,BAL,Mike Elias
100,2019,BAL,Mike Elias
101,2018,BAL,Dan Duquette
102,2017,BAL,Dan Duquette
103,2016,BAL,Dan Duquette
104,2015,BAL,Dan Duquette
105,2014,BAL,Dan Duquette
106,2013,BAL,Dan Duquette
107,2012,BAL,Dan Duquette
108,2011,BAL,Andy MacPhail
109,2010,BAL,Andy MacPhail
110,2009,BAL,Andy MacPhail
111,2008,BAL,Andy MacPhail
112,2007,BAL,Andy MacPhail
113,2006,BAL,Mike Flanagan
114,2005,BAL,Jim Beattie
115,2005,BAL,Mike Flanagan
116,2004,BAL,Jim Beattie
117,2004,BAL,Mike Flanagan
118,2003,BAL,Jim Beattie
119,2003,BAL,Mike Flanagan
120,2002,BAL,Syd Thrift
121,2001,BAL,Syd Thrift
122,2000,BAL,Syd Thrift
123,1999,BAL,Frank Wren
124,1998,BAL,Pat Gillick
125,1997,BAL,Pat Gillick
126,1996,BAL,Pat Gillick
127,1995,BAL,Roland Hemond
128,1994,BAL,Roland Hemond
129,1993,BAL,Roland Hemond
130,1992,BAL,Roland Hemond
131,1991,BAL,Roland Hemond
132,1990,BAL,Roland Hemond
133,1989,BAL,Roland Hemond
134,1988,BAL,Roland Hemond
135,1987,BAL,Hank Peters
136,1986,BAL,Hank Peters
137,1985,BAL,Hank Peters
138,1984,BAL,Hank Peters
139,1983,BAL,Hank Peters
140,1982,BAL,Hank Peters
141,1981,BAL,Hank Peters
142,1980,BAL,Hank Peters
143,1979,BAL,Hank Peters
144,1978,BAL,Hank Peters
145,1977,BAL,Hank Peters
146,1976,BAL,Hank Peters
147,1975,BAL,Frank Cashen
148,1974,BAL,Frank Cashen
149,1973,BAL,Frank Cashen
150,1972,BAL,Frank Cashen
151,1971,BAL,Harry Dalton
152,1970,BAL,Harry Dalton
153,1969,BAL,Harry Dalton
154,1968,BAL,Harry Dalton
155,1967,BAL,Harry Dalton
156,1966,BAL,Harry Dalton
157,1965,BAL,Lee MacPhail
158,1964,BAL,Lee MacPhail
159,1963,BAL,Lee MacPhail
160,1962,BAL,Lee MacPhail
161,1961,BAL,Lee MacPhail
162,1960,BAL,Lee MacPhail
163,1959,BAL,Lee MacPhail
164,1958,BAL,Paul Richards
165,1957,BAL,Paul Richards
166,1956,BAL,Paul Richards
167,1955,BAL,Paul Richards
168,1954,BAL,Art Ehlers
169,1953,SLB,Bill Veeck
170,1952,SLB,Bill Veeck
171,1951,SLB,Bill DeWitt
172,1950,SLB,Bill DeWitt
173,2021,BOS,Brian O'Halloran
174,2020,BOS,Dave Dombrowski
175,2019,BOS,Dave Dombrowski
176,2018,BOS,Dave Dombrowski
177,2017,BOS,Dave Dombrowski
178,2016,BOS,Mike Hazen
179,2015,BOS,Ben Cherington
180,2014,BOS,Ben Cherington
181,2013,BOS,Ben Cherington
182,2012,BOS,Ben Cherington
183,2011,BOS,Theo Epstein
184,2010,BOS,Theo Epstein
185,2009,BOS,Theo Epstein
186,2008,BOS,Theo Epstein
187,2007,BOS,Theo Epstein
188,2006,BOS,Theo Epstein
189,2005,BOS,Theo Epstein
190,2004,BOS,Theo Epstein
191,2003,BOS,Theo Epstein
192,2002,BOS,Mike Port
193,2001,BOS,Dan Duquette
194,2000,BOS,Dan Duquette
195,1999,BOS,Dan Duquette
196,1998,BOS,Dan Duquette
197,1997,BOS,Dan Duquette
198,1996,BOS,Dan Duquette
199,1995,BOS,Dan Duquette
200,1994,BOS,Dan Duquette
201,1993,BOS,Lou Gorman
202,1992,BOS,Lou Gorman
203,1991,BOS,Lou Gorman
204,1990,BOS,Lou Gorman
205,1989,BOS,Lou Gorman
206,1988,BOS,Lou Gorman
207,1987,BOS,Lou Gorman
208,1986,BOS,Lou Gorman
209,1985,BOS,Lou Gorman
210,1984,BOS,Haywood Sullivan
211,1983,BOS,Haywood Sullivan
212,1982,BOS,Haywood Sullivan
213,1981,BOS,Haywood Sullivan
214,1980,BOS,Haywood Sullivan
215,1979,BOS,Haywood Sullivan
216,1978,BOS,Haywood Sullivan
217,1977,BOS,Dick O'Connell
218,1976,BOS,Dick O'Connell
219,1975,BOS,Dick O'Connell
220,1974,BOS,Dick O'Connell
221,1973,BOS,Dick O'Connell
222,1972,BOS,Dick O'Connell
223,1971,BOS,Dick O'Connell
224,1970,BOS,Dick O'Connell
225,1969,BOS,Dick O'Connell
226,1968,BOS,Dick O'Connell
227,1967,BOS,Dick O'Connell
228,1966,BOS,Dick O'Connell
229,1965,BOS,Pinky Higgins
230,1964,BOS,Pinky Higgins
231,1963,BOS,Pinky Higgins
232,1962,BOS,Dick O'Connell
233,1961,BOS,Dick O'Connell
234,1960,BOS,Bucky Harris
235,1959,BOS,Bucky Harris
236,1958,BOS,Joe Cronin
237,1957,BOS,Joe Cronin
238,1956,BOS,Joe Cronin
239,1955,BOS,Joe Cronin
240,1954,BOS,Joe Cronin
241,1953,BOS,Joe Cronin
242,1952,BOS,Joe Cronin
243,1951,BOS,Joe Cronin
244,1950,BOS,Joe Cronin
245,2020,CHC,Jed Hoyer
246,2019,CHC,Jed Hoyer
247,2018,CHC,Jed Hoyer
248,2017,CHC,Jed Hoyer
249,2016,CHC,Jed Hoyer
250,2015,CHC,Jed Hoyer
251,2014,CHC,Jed Hoyer
252,2013,CHC,Jed Hoyer
253,2012,CHC,Jed Hoyer
254,2011,CHC,Randy Bush
255,2011,CHC,Jim Hendry
256,2010,CHC,Jim Hendry
257,2009,CHC,Jim Hendry
258,2008,CHC,Jim Hendry
259,2007,CHC,Jim Hendry
260,2006,CHC,Jim Hendry
261,2005,CHC,Jim Hendry
262,2004,CHC,Jim Hendry
263,2003,CHC,Jim Hendry
264,2002,CHC,Andy MacPhail
265,2001,CHC,Andy MacPhail
266,2000,CHC,Ed Lynch
267,1999,CHC,Ed Lynch
268,1998,CHC,Ed Lynch
269,1997,CHC,Ed Lynch
270,1996,CHC,Ed Lynch
271,1995,CHC,Ed Lynch
272,1994,CHC,Larry Himes
273,1993,CHC,Larry Himes
274,1992,CHC,Larry Himes
275,1991,CHC,Jim Frey
276,1990,CHC,Jim Frey
277,1989,CHC,Jim Frey
278,1988,CHC,Jim Frey
279,1987,CHC,Dallas Green
280,1986,CHC,Dallas Green
281,1985,CHC,Dallas Green
282,1984,CHC,Dallas Green
283,1983,CHC,Dallas Green
284,1982,CHC,Dallas Green
285,1981,CHC,Bob Kennedy
286,1980,CHC,Bob Kennedy
287,1979,CHC,Bob Kennedy
288,1978,CHC,Bob Kennedy
289,1977,CHC,Bob Kennedy
290,1976,CHC,Salty Saltwell
291,1975,CHC,John Holland
292,1974,CHC,John Holland
293,1973,CHC,John Holland
294,1972,CHC,John Holland
295,1971,CHC,John Holland
296,1970,CHC,John Holland
297,1969,CHC,John Holland
298,1968,CHC,John Holland
299,1967,CHC,John Holland
300,1966,CHC,John Holland
301,1965,CHC,John Holland
302,1964,CHC,John Holland
303,1963,CHC,John Holland
304,1962,CHC,John Holland
305,1961,CHC,John Holland
306,1960,CHC,John Holland
307,1959,CHC,John Holland
308,1958,CHC,John Holland
309,1957,CHC,John Holland
310,1956,CHC,Wid Mathews
311,1955,CHC,Wid Mathews
312,1954,CHC,Wid Mathews
313,1953,CHC,Wid Mathews
314,1952,CHC,Wid Mathews
315,1951,CHC,Wid Mathews
316,1950,CHC,Wid Mathews
317,2021,CIN,Nick Krall
318,2020,CIN,Nick Krall
319,2019,CIN,Nick Krall
320,2018,CIN,Nick Krall
321,2017,CIN,Dick Williams
322,2016,CIN,Dick Williams
323,2015,CIN,Walt Jocketty
324,2014,CIN,Walt Jocketty
325,2013,CIN,Walt Jocketty
326,2012,CIN,Walt Jocketty
327,2011,CIN,Walt Jocketty
328,2010,CIN,Walt Jocketty
329,2009,CIN,Walt Jocketty
330,2008,CIN,Walt Jocketty
331,2007,CIN,Wayne Krivsky
332,2006,CIN,Wayne Krivsky
333,2005,CIN,Dan O'Brien
334,2004,CIN,Dan O'Brien
335,2003,CIN,Jim Bowden
336,2002,CIN,Jim Bowden
337,2001,CIN,Jim Bowden
338,2000,CIN,Jim Bowden
339,1999,CIN,Jim Bowden
340,1998,CIN,Jim Bowden
341,1997,CIN,Jim Bowden
342,1996,CIN,Jim Bowden
343,1995,CIN,Jim Bowden
344,1994,CIN,Jim Bowden
345,1993,CIN,Jim Bowden
346,1992,CIN,Bob Quinn
347,1991,CIN,Bob Quinn
348,1990,CIN,Bob Quinn
349,1989,CIN,Murray Cook
350,1988,CIN,Murray Cook
351,1987,CIN,Bill Bergesch
352,1986,CIN,Bill Bergesch
353,1985,CIN,Bill Bergesch
354,1984,CIN,Bob Howsam
355,1983,CIN,Dick Wagner
356,1982,CIN,Dick Wagner
357,1981,CIN,Dick Wagner
358,1980,CIN,Dick Wagner
359,1979,CIN,Dick Wagner
360,1978,CIN,Bob Howsam
361,1977,CIN,Bob Howsam
362,1976,CIN,Bob Howsam
363,1975,CIN,Bob Howsam
364,1974,CIN,Bob Howsam
365,1973,CIN,Bob Howsam
366,1972,CIN,Bob Howsam
367,1971,CIN,Bob Howsam
368,1970,CIN,Bob Howsam
369,1969,CIN,Bob Howsam
370,1968,CIN,Bob Howsam
371,1967,CIN,Bob Howsam
372,1966,CIN,Bill DeWitt
373,1965,CIN,Bill DeWitt
374,1964,CIN,Bill DeWitt
375,1963,CIN,Bill DeWitt
376,1962,CIN,Bill DeWitt
377,1961,CIN,Bill DeWitt
378,1960,CIN,Gabe Paul
379,1959,CIN,Gabe Paul
380,1958,CIN,Gabe Paul
381,1957,CIN,Gabe Paul
382,1956,CIN,Gabe Paul
383,1955,CIN,Gabe Paul
384,1954,CIN,Gabe Paul
385,1953,CIN,Gabe Paul
386,1952,CIN,Gabe Paul
387,1951,CIN,Warren Giles
388,1950,CIN,Warren Giles
389,2021,CLE,Mike Chernoff
390,2020,CLE,Mike Chernoff
391,2019,CLE,Mike Chernoff
392,2018,CLE,Mike Chernoff
393,2017,CLE,Mike Chernoff
394,2016,CLE,Mike Chernoff
395,2015,CLE,Chris Antonetti
396,2014,CLE,Chris Antonetti
397,2013,CLE,Chris Antonetti
398,2012,CLE,Chris Antonetti
399,2011,CLE,Chris Antonetti
400,2010,CLE,Mark Shapiro
401,2009,CLE,Mark Shapiro
402,2008,CLE,Mark Shapiro
403,2007,CLE,Mark Shapiro
404,2006,CLE,Mark Shapiro
405,2005,CLE,Mark Shapiro
406,2004,CLE,Mark Shapiro
407,2003,CLE,Mark Shapiro
408,2002,CLE,Mark Shapiro
409,2001,CLE,John Hart
410,2000,CLE,John Hart
411,1999,CLE,John Hart
412,1998,CLE,John Hart
413,1997,CLE,John Hart
414,1996,CLE,John Hart
415,1995,CLE,John Hart
416,1994,CLE,John Hart
417,1993,CLE,John Hart
418,1992,CLE,John Hart
419,1991,CLE,John Hart
420,1990,CLE,Hank Peters
421,1989,CLE,Hank Peters
422,1988,CLE,Hank Peters
423,1987,CLE,Joe Klein
424,1986,CLE,Joe Klein
425,1985,CLE,Phil Seghi
426,1984,CLE,Phil Seghi
427,1983,CLE,Phil Seghi
428,1982,CLE,Phil Seghi
429,1981,CLE,Phil Seghi
430,1980,CLE,Phil Seghi
431,1979,CLE,Phil Seghi
432,1978,CLE,Phil Seghi
433,1977,CLE,Phil Seghi
434,1976,CLE,Phil Seghi
435,1975,CLE,Phil Seghi
436,1974,CLE,Phil Seghi
437,1973,CLE,Phil Seghi
438,1972,CLE,Gabe Paul
439,1971,CLE,Alvin Dark
440,1970,CLE,Alvin Dark
441,1969,CLE,Gabe Paul
442,1968,CLE,Gabe Paul
443,1967,CLE,Gabe Paul
444,1966,CLE,Gabe Paul
445,1965,CLE,Gabe Paul
446,1964,CLE,Gabe Paul
447,1963,CLE,Gabe Paul
448,1962,CLE,Gabe Paul
449,1960,CLE,Frank Lane
450,1959,CLE,Frank Lane
451,1958,CLE,Frank Lane
452,1957,CLE,Hank Greenberg
453,1956,CLE,Hank Greenberg
454,1955,CLE,Hank Greenberg
455,1954,CLE,Hank Greenberg
456,1953,CLE,Hank Greenberg
457,1952,CLE,Hank Greenberg
458,1951,CLE,Hank Greenberg
459,1950,CLE,Hank Greenberg
460,2021,COL,Jeff Bridich
461,2020,COL,Jeff Bridich
462,2019,COL,Jeff Bridich
463,2018,COL,Jeff Bridich
464,2017,COL,Jeff Bridich
465,2016,COL,Jeff Bridich
466,2015,COL,Jeff Bridich
467,2014,COL,Daniel O'Dowd
468,2013,COL,Daniel O'Dowd
469,2012,COL,Daniel O'Dowd
470,2011,COL,Daniel O'Dowd
471,2010,COL,Daniel O'Dowd
472,2009,COL,Daniel O'Dowd
473,2008,COL,Daniel O'Dowd
474,2007,COL,Daniel O'Dowd
475,2006,COL,Daniel O'Dowd
476,2005,COL,Daniel O'Dowd
477,2004,COL,Daniel O'Dowd
478,2003,COL,Daniel O'Dowd
479,2002,COL,Daniel O'Dowd
480,2001,COL,Daniel O'Dowd
481,2000,COL,Daniel O'Dowd
482,1999,COL,Bob Gebhard
483,1998,COL,Bob Gebhard
484,1997,COL,Bob Gebhard
485,1996,COL,Bob Gebhard
486,1995,COL,Bob Gebhard
487,1994,COL,Bob Gebhard
488,1993,COL,Bob Gebhard
489,2021,DET,Alberto Avila
490,2020,DET,Alberto Avila
491,2019,DET,Alberto Avila
492,2018,DET,Alberto Avila
493,2017,DET,Alberto Avila
494,2016,DET,Alberto Avila
495,2015,DET,Dave Dombrowski
496,2014,DET,Dave Dombrowski
497,2013,DET,Dave Dombrowski
498,2012,DET,Dave Dombrowski
499,2011,DET,Dave Dombrowski
500,2010,DET,Dave Dombrowski
501,2009,DET,Dave Dombrowski
502,2008,DET,Dave Dombrowski
503,2007,DET,Dave Dombrowski
504,2006,DET,Dave Dombrowski
505,2005,DET,Dave Dombrowski
506,2004,DET,Dave Dombrowski
507,2003,DET,Dave Dombrowski
508,2002,DET,Randy Smith
509,2001,DET,Randy Smith
510,2000,DET,Randy Smith
511,1999,DET,Randy Smith
512,1998,DET,Randy Smith
513,1997,DET,Randy Smith
514,1996,DET,Randy Smith
515,1995,DET,Joe Klein
516,1994,DET,Joe Klein
517,1993,DET,Jerry Walker
518,1992,DET,Joe McDonald
519,1991,DET,Joe McDonald
520,1990,DET,Bill Lajoie
521,1989,DET,Bill Lajoie
522,1988,DET,Bill Lajoie
523,1987,DET,Bill Lajoie
524,1986,DET,Bill Lajoie
525,1985,DET,Bill Lajoie
526,1984,DET,Bill Lajoie
527,1983,DET,Jim Campbell
528,1982,DET,Jim Campbell
529,1981,DET,Jim Campbell
530,1980,DET,Jim Campbell
531,1979,DET,Jim Campbell
532,1978,DET,Jim Campbell
533,1977,DET,Jim Campbell
534,1976,DET,Jim Campbell
535,1975,DET,Jim Campbell
536,1974,DET,Jim Campbell
537,1973,DET,Jim Campbell
538,1972,DET,Jim Campbell
539,1971,DET,Jim Campbell
540,1970,DET,Jim Campbell
541,1969,DET,Jim Campbell
542,1968,DET,Jim Campbell
543,1967,DET,Jim Campbell
544,1966,DET,Jim Campbell
545,1965,DET,Jim Campbell
546,1964,DET,Jim Campbell
547,1963,DET,Jim Campbell
548,1962,DET,Rick Ferrell
549,1961,DET,Rick Ferrell
550,1960,DET,Rick Ferrell
551,1959,DET,Rick Ferrell
552,1958,DET,John McHale
553,1957,DET,John McHale
554,1957,DET,Walter Briggs
555,1956,DET,Muddy Ruel
556,1955,DET,Muddy Ruel
557,1954,DET,Muddy Ruel
558,1953,DET,Charlie Gehringer
559,1952,DET,Charlie Gehringer
560,1951,DET,Billy Evans
561,1950,DET,Billy Evans
562,2021,HOU,James Click
563,2020,HOU,James Click
564,2019,HOU,Jeff Luhnow
565,2018,HOU,Jeff Luhnow
566,2017,HOU,Jeff Luhnow
567,2016,HOU,Jeff Luhnow
568,2015,HOU,Jeff Luhnow
569,2014,HOU,Jeff Luhnow
570,2013,HOU,Jeff Luhnow
571,2012,HOU,Jeff Luhnow
572,2011,HOU,Ed Wade
573,2010,HOU,Ed Wade
574,2009,HOU,Ed Wade
575,2008,HOU,Ed Wade
576,2007,HOU,Ed Wade
577,2006,HOU,Tim Purpura
578,2005,HOU,Tim Purpura
579,2004,HOU,Gerry Hunsicker
580,2003,HOU,Gerry Hunsicker
581,2002,HOU,Gerry Hunsicker
582,2001,HOU,Gerry Hunsicker
583,2000,HOU,Gerry Hunsicker
584,1999,HOU,Gerry Hunsicker
585,1998,HOU,Gerry Hunsicker
586,1997,HOU,Gerry Hunsicker
587,1996,HOU,Gerry Hunsicker
588,1995,HOU,Bob Watson
589,1994,HOU,Bob Watson
590,1993,HOU,Bill Wood
591,1992,HOU,Bill Wood
592,1991,HOU,Bill Wood
593,1990,HOU,Bill Wood
594,1989,HOU,Bill Wood
595,1988,HOU,Bill Wood
596,1987,HOU,Dick Wagner
597,1986,HOU,Dick Wagner
598,1985,HOU,Al Rosen
599,1984,HOU,Al Rosen
600,1983,HOU,Al Rosen
601,1982,HOU,Al Rosen
602,1981,HOU,Al Rosen
603,1980,HOU,Tal Smith
604,1979,HOU,Tal Smith
605,1978,HOU,Tal Smith
606,1977,HOU,Tal Smith
607,1976,HOU,Tal Smith
608,1975,HOU,Spec Richardson
609,1974,HOU,Spec Richardson
610,1973,HOU,Spec Richardson
611,1972,HOU,Spec Richardson
612,1971,HOU,Spec Richardson
613,1970,HOU,Spec Richardson
614,1969,HOU,Spec Richardson
615,1968,HOU,Spec Richardson
616,1967,HOU,Tal Smith
617,1966,HOU,Tal Smith
618,1965,HOU,Paul Richards
619,1964,HOU,Paul Richards
620,1963,HOU,Paul Richards
621,1962,HOU,Paul Richards
